created_at,timestamp,username,tweet,language,likes_count
2022-11-12 10:59:32 +07,1668225572.0,raishiz1,"Crypto News: White House, US Senators Call for Proper Crypto Oversight – Regulation Bitcoin News ;  https://t.co/3RiTXebte4 ----- #BTC #Bitcoin #ETH #Cryptocurrency #cryptoupdate #Crash #Bullish #Bearish #Ethereum #Binance #BNB",en,0
2022-11-12 10:59:31 +07,1668225571.0,datapoolapp,Btc Twitter Sentiment Analysis   Last 1 Day #btc #bitcoin #cryptocurrency More Detail 👉 https://t.co/iiYqSGayFP  https://t.co/WIlQWLgKBB,en,0
2022-11-12 10:59:12 +07,1668225552.0,th3cryptologist,$btc #bitcoin really needs to get back above this previous support level somewhat soon. We don’t want 19k acting as strong resistance once again. Would essentially guarantee a sweep of 10-12 as inevitable.  https://t.co/ZLj6CLfQdF,en,0
2022-11-12 10:57:45 +07,1668225465.0,ewit_invest,Crypto is down. Perfect time to build!  #Crypto #cryptocurrency #BTC #Bitcoin #ETH #ENS #NFT #NFTs,en,4
2022-11-12 10:56:18 +07,1668225378.0,b0rd2death,Morpheus is fighting Neo. 👀 #DOGE #DOGECOIN #BTC #BITCOIN  https://t.co/8BZaxKkRB9,en,0
2022-11-12 10:54:21 +07,1668225261.0,moderncharting,#btc #Bitcoin  https://t.co/9j2Oio2Acv,qme,0
2022-11-12 10:54:01 +07,1668225241.0,alertingcryptos,[ $BTC ] Bitcoin   $BTC: ‘Rich Dad Poor Dad’ Author Explains Why He Is Not ‘Worried’ About Bitcoin   https://t.co/3U3wcKQECX,en,0
2022-11-12 10:51:40 +07,1668225100.0,breezyp250,"CME Gap to $16,619.   $BTC #Bitcoin.",en,0
2022-11-12 10:49:59 +07,1668224999.0,token_platforms,The current price of Bitcoin is 16875.51 US$.   #btc #bitcoin   Follow us + RT,en,1
2022-11-12 10:49:38 +07,1668224978.0,jsmith9999992,#BTC #Bitcoin #DigitalCurrency #Crypto #cryptocrash,qht,0
2022-11-12 10:48:38 +07,1668224918.0,cryptodengta,1112 灯塔视频说 好久不见，视频聊聊近期的币圈影响和美股走势关联影响 以及当前行情走势分析 FTX 与 CPI 影响对冲，比特币未来走势如何？币圈转机？  https://t.co/wHakpIp89S via @YouTube   https://t.co/wHakpIp89S #FTX #FTT #BTC #Bitcoin #ETH,zh,1
2022-11-12 10:47:22 +07,1668224842.0,libertytattooi1,#crypto #eth #ethereum $eth   Watch for dumps   #btc $btc #bitcoin,en,0
2022-11-12 10:47:21 +07,1668224841.0,bitcoindevonuk,The Unending Desire To Talk About Bitcoin With Others ⚡️  #btc #Bitcoin #Crypto #cryptomarket    https://t.co/VCTGDp0X0L,en,0
2022-11-12 10:46:14 +07,1668224774.0,engrsesan,"Watch out for this levels….. Here are my points of interest $10,300 $11,600 $8,600  #BTCUSDT #btc #Bitcoin #cryptocurrecy #Crypto  https://t.co/VcvbSb4Rfo",en,1
